id,model,capacity,original_carrier,unlocked,battery,screen_condition,frame_condition,imei,serial,color,source,known_issues
223,iphone 8,64gb,tmobile,false,90,mint,fair,29854979396124,05-104-9579,Turquoise,"TONYMOLY CO., LTD.",79c8:344c:9979:4f2b:ff61:d09d:7da0:be1b
224,iphone xs,64gb,tmobile,true,89,good,fair,58920067327268,41-571-9007,Aquamarine,"NCS HealthCare of KY, Inc dba Vangard Labs",
225,iphone 8 plus,64gb,tmobile,true,89,good,good,95852155011002,08-791-1883,Crimson,Apex of St. Peters,
226,iphone 8,64gb,sprint,false,92,good,fair,95093704294423,32-023-0013,Khaki,Richmond Pharmaceuticals Inc.,
227,iphone x,64gb,verizon,false,97,mint,fair,87540582924769,65-249-6652,Yellow,LVMH Fragrance Brands,
228,iphone xr,256gb,verizon,false,89,good,fair,5579733200088,38-379-6043,Blue,American Blending and Filling,
229,iphone x,64gb,verizon,true,85,good,good,88595056688994,83-897-6157,Blue,Mylan Pharmaceuticals Inc.,
230,iphone x,64gb,verizon,true,95,good,fair,21482328563211,97-014-0361,Turquoise,"DZA Brands, LLC",
231,iphone x,64gb,tmobile,false,97,mint,good,91868444288294,73-357-1047,Goldenrod,"Allergy Laboratories, Inc.",
232,iphone x,64gb,verizon,true,96,good,good,28319666581707,32-560-4875,Goldenrod,"AMI Cosmetic Co.,Ltd.",
233,iphone 8,64gb,sprint,false,97,good,good,42996864390504,01-279-4658,Purple,Kroger Company,
234,iphone 8,256gb,att,false,87,fair,fair,91187188101638,76-044-3495,Violet,Mylan Pharmaceuticals Inc.,
235,iphone 8,64gb,tmobile,true,95,fair,good,73277520569506,60-334-3505,Violet,H E B,
236,iphone 8 plus,128gb,sprint,true,97,mint,good,61985866307078,25-369-9694,Fuscia,Phillips Company,
237,iphone 8 plus,128gb,att,false,92,fair,fair,7526413152086,95-234-2854,Green,Actavis Mid Atlantic LLC,
238,iphone 8 plus,64gb,verizon,true,89,good,mint,54286351098639,18-417-7319,Aquamarine,Teva Pharmaceuticals USA Inc,
239,iphone 8 plus,64gb,att,true,92,mint,mint,71193806283405,69-527-9805,Red,"Preferred Pharmaceuticals, Inc.",
240,iphone 8,256gb,sprint,true,98,mint,mint,61626132462795,06-049-9149,Puce,Jubilant HollisterStier LLC,
241,iphone xr,64gb,att,true,100,good,mint,63517203313621,97-756-8666,Pink,HYVEE INC,
242,iphone xr,64gb,att,true,90,fair,fair,51483591583047,21-050-7024,Pink,Teva Pharmaceuticals USA Inc,cf03:4d8:43ad:432a:f247:327a:8b1e:ad57
243,iphone xr,256gb,verizon,false,93,mint,good,63871256581282,17-923-6388,Red,Deseret Biologicals,
244,iphone 8 plus,128gb,verizon,true,90,good,good,59624672938616,09-579-1937,Blue,Amerisource Bergen,
245,iphone 8 plus,64gb,att,true,92,fair,mint,26251037280323,76-226-8742,Green,"Aphena Pharma Solutions - Tennessee, LLC",
246,iphone 8 plus,64gb,att,false,98,mint,mint,37001084485057,44-245-8609,Purple,West-ward Pharmaceutical Corp.,
247,iphone x,64gb,sprint,false,87,mint,mint,95376660410056,12-938-0042,Khaki,"Teva Parenteral Medicines, Inc.",5206:32c7:aa01:70c5:3fb9:79d6:5f2d:a56b
248,iphone xs,256gb,tmobile,false,88,fair,good,46272203919613,18-877-7440,Red,"Novartis Consumer Health, Inc.",
249,iphone xs,256gb,sprint,true,98,fair,mint,5910298735928,41-900-7031,Red,"Seyer Pharmatec, Inc.",
250,iphone x,64gb,tmobile,true,99,good,good,40551669964571,52-386-7659,Green,"Tarte, Inc",
251,iphone xs,64gb,sprint,false,92,mint,fair,68591961375018,45-436-1610,Khaki,PureTek Corporation,
252,iphone 8,256gb,tmobile,false,89,good,good,96400387587367,01-489-6109,Turquoise,"Janssen Pharmaceuticals, Inc.",
253,iphone xs,128gb,att,true,90,good,fair,99571533275221,39-698-7455,Violet,United Exchange Corp.,
254,iphone x,128gb,tmobile,false,89,fair,fair,51860805981640,87-068-5279,Turquoise,"Dolgencorp, LLC",
255,iphone x,64gb,sprint,true,87,good,fair,88236905883281,87-291-5120,Khaki,Rite Aid Corporation,
256,iphone 8 plus,256gb,tmobile,false,100,fair,good,72611358368738,80-257-9994,Yellow,Procter & Gamble Manufacturing Company,
257,iphone xr,64gb,verizon,true,91,mint,fair,72113303858713,03-624-1911,Teal,"SKINFOOD CO., LTD.",
258,iphone xs,256gb,verizon,true,99,fair,good,63089420088902,94-196-4069,Puce,SHISEIDO AMERICAS CORPORATION,
259,iphone 8,64gb,tmobile,true,99,fair,fair,26280133022110,47-614-5108,Violet,"Nelco Laboratories, Inc.",
260,iphone xr,128gb,att,false,91,fair,mint,76747017271340,45-577-1469,Pink,"Physicians Total Care, Inc.",
261,iphone 8,128gb,att,true,89,good,mint,7563795817190,11-863-2537,Turquoise,BluePoint Laboratories,
262,iphone 8 plus,256gb,att,false,87,good,good,67500766134564,46-202-0727,Orange,Bausch & Lomb Incorporated,
263,iphone 8 plus,256gb,sprint,true,89,fair,fair,27961592184333,25-831-1630,Puce,Cardinal Health,
264,iphone xs,256gb,verizon,false,93,mint,fair,34170225311504,01-160-8755,Pink,Atlanta Medical Gas LLC,
265,iphone 8,128gb,verizon,true,100,mint,fair,68248331560610,03-702-1684,Puce,"ALK-Abello, Inc.",f4d9:579e:dd1d:2f69:be61:1560:7cb0:1cc5
266,iphone 8 plus,64gb,sprint,true,96,mint,good,56932862933861,84-595-0334,Orange,Mission,
267,iphone x,64gb,tmobile,false,85,fair,mint,89952479301285,91-684-1115,Maroon,Melaleuca Inc.,
268,iphone xr,256gb,verizon,true,87,good,mint,8111372351341,45-901-4480,Violet,Ventura International LTD.,
269,iphone xs,128gb,att,false,96,fair,fair,27267291880165,77-993-4915,Yellow,"Airgas Northern California and Nevada, Inc.",
270,iphone xs,256gb,tmobile,false,87,fair,mint,31065238889597,54-938-3632,Goldenrod,"Pharmaceutical Associates, Inc.",
271,iphone xr,64gb,sprint,false,90,good,fair,71849305682921,27-729-5535,Orange,Citron Pharma LLC,
272,iphone 8,64gb,sprint,false,100,mint,fair,36528555105077,45-307-4970,Orange,"SPIRIT PHARMACEUTICALS,LLC",
273,iphone 8 plus,128gb,sprint,true,91,fair,fair,18702583533548,52-550-3084,Goldenrod,"Nelco Laboratories, Inc.",
274,iphone xs,256gb,sprint,true,86,fair,mint,3037919169739,81-583-7550,Yellow,Cintas Corp.,
275,iphone xr,64gb,sprint,false,92,fair,mint,63996145291943,55-552-6274,Red,American Health Packaging,ce9b:8c87:1dfa:ac22:9329:13dd:d611:bf38
276,iphone xs,128gb,att,true,85,good,good,2499746597233,01-440-1927,Blue,"Physicians Total Care, Inc.",
277,iphone x,128gb,sprint,true,98,mint,mint,5113157794234,97-215-2532,Maroon,Zermat Internacional S.A. de C.V.,
278,iphone 8 plus,256gb,verizon,true,93,good,fair,55427420382544,24-257-6152,Purple,"NATURE REPUBLIC CO., LTD.",
279,iphone 8 plus,128gb,tmobile,false,85,good,mint,92539717391980,13-948-6571,Mauv,L. Perrigo Company,
280,iphone xs,128gb,tmobile,false,96,fair,good,14011416101917,38-375-9676,Red,"Par Pharmaceutical, Inc.",
281,iphone x,64gb,tmobile,true,93,fair,good,36723543913245,14-172-7085,Pink,"Nelco Laboratories, Inc.",
282,iphone x,256gb,sprint,false,96,mint,good,39319850865361,10-815-5302,Purple,Uriel Pharmacy Inc.,
283,iphone xr,64gb,att,false,100,mint,good,31811249699289,51-809-8428,Fuscia,B. Braun Medical Inc.,
284,iphone xr,64gb,verizon,false,91,fair,good,46549262636828,94-635-4080,Turquoise,"Chattem, Inc.",
285,iphone xr,128gb,sprint,true,90,mint,fair,27082764271168,58-694-3055,Fuscia,"Nelco Laboratories, Inc.",
286,iphone xs,64gb,verizon,true,94,mint,mint,82283331564912,61-815-4137,Blue,REMEDYREPACK INC.,
287,iphone 8,128gb,sprint,true,96,good,mint,11186329991431,96-705-8272,Purple,Aidarex Pharmaceuticals LLC,
288,iphone x,128gb,verizon,true,93,fair,good,24517426547805,74-119-4546,Turquoise,"Glenmark Generics Inc., USA",
289,iphone x,128gb,tmobile,true,100,mint,mint,79947438119193,60-837-6258,Blue,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,
290,iphone xs,128gb,att,false,88,fair,good,14378821197635,07-816-2044,Puce,Sam's West Inc,
291,iphone x,128gb,tmobile,true,91,good,fair,55836916994596,02-374-1216,Green,Dr.Reddy's Laboratories Limited,
292,iphone 8 plus,64gb,verizon,true,86,mint,good,75073864308426,09-042-0853,Teal,Clinical Solutions Wholesale,
293,iphone xs,256gb,sprint,false,98,mint,fair,16344381015595,66-747-8795,Aquamarine,"Fresenius Kabi USA, LLC",
294,iphone 8 plus,128gb,sprint,false,95,fair,fair,74624139611174,28-816-8082,Khaki,Conopco Inc. d/b/a Unilever,
295,iphone 8,256gb,sprint,false,98,mint,mint,54288565612268,68-938-9494,Fuscia,"Nelco Laboratories, Inc.",
296,iphone xr,64gb,tmobile,false,97,good,fair,38995707921921,97-136-5719,Pink,REMEDYREPACK INC.,
297,iphone 8 plus,128gb,sprint,false,86,fair,good,29174798497916,47-822-3967,Maroon,"Physicians Total Care, Inc.",
298,iphone 8,64gb,tmobile,false,93,fair,good,93787248535594,41-892-6615,Red,REMEDYREPACK INC.,
299,iphone xs,64gb,att,true,89,fair,mint,78551363556902,78-992-8683,Goldenrod,"Glenmark Generics Inc., USA",aab9:8f5e:d73f:ba9e:ec69:188d:fcf1:e316
300,iphone 8,256gb,tmobile,false,98,mint,mint,73238915544703,98-419-7468,Khaki,Zydus Pharmaceuticals USA Inc,
301,iphone xr,64gb,sprint,true,95,fair,fair,4682267261214,06-391-2288,Purple,Teva Pharmaceuticals USA Inc,
302,iphone 8 plus,64gb,att,true,93,fair,good,21266744045504,69-719-4016,Aquamarine,QUALITY CHOICE (Chain Drug Marketing Association),
303,iphone xs,128gb,tmobile,false,98,mint,fair,16284000087995,73-982-2510,Puce,Chain Drug Marketing Association,
304,iphone x,256gb,att,false,90,good,fair,95115117929721,70-646-9908,Yellow,Corepharma LLC.,
305,iphone xs,64gb,verizon,false,92,mint,fair,60680175508483,99-514-3041,Purple,Homeocare Laboratories,
306,iphone 8 plus,64gb,verizon,true,91,mint,mint,73515500081085,30-837-6787,Aquamarine,TOP CARE (Topco Associates LLC),
307,iphone xr,256gb,verizon,true,99,mint,good,45219342329666,66-621-5182,Khaki,"Epic Pharma, LLC",
308,iphone 8,128gb,tmobile,false,92,mint,mint,93294243056065,35-958-6639,Pink,Mylan Pharmaceuticals Inc.,50f4:f1e0:f796:393f:f1d8:e735:7285:7157
309,iphone xr,256gb,verizon,false,95,mint,fair,53714639076500,14-794-7843,Aquamarine,"DAVA Pharmaceuticals, Inc.",cc5f:1fa5:984b:e:5c76:9110:6b9b:cc1b
310,iphone xr,128gb,att,true,90,good,good,54733498996615,74-158-7738,Orange,Ventura Corporation Ltd.,
311,iphone 8 plus,128gb,att,true,90,fair,good,88595216175995,59-854-8016,Puce,Amerisource Bergen,
312,iphone 8,64gb,att,true,86,fair,mint,84711171630915,06-392-8491,Puce,"Nelco Laboratories, Inc.",
313,iphone xr,128gb,verizon,true,100,fair,good,7731406957257,72-065-6012,Mauv,"Physicians Total Care, Inc.",
314,iphone xs,128gb,tmobile,false,89,mint,good,20039267916797,28-439-8304,Indigo,Ventura Corporation LTD.,
315,iphone xr,256gb,att,true,85,mint,fair,24356092902326,69-773-0693,Orange,REMEDYREPACK INC.,
316,iphone 8 plus,64gb,verizon,false,85,good,mint,4993425657244,15-449-9682,Green,Jubilant HollisterStier LLC,
317,iphone 8,64gb,sprint,false,95,fair,good,35729603706076,78-976-5644,Puce,"Nelco Laboratories, Inc.",
318,iphone xr,256gb,sprint,false,89,mint,good,16988170703300,85-709-6469,Goldenrod,"NATURE REPUBLIC CO., LTD.",
319,iphone 8 plus,256gb,verizon,false,89,mint,mint,98075507694264,26-229-4532,Green,"DOLGENCORP, LLC",
320,iphone xs,256gb,sprint,false,95,fair,mint,77723455567839,20-060-7012,Mauv,"Pharbest Pharmaceuticals, Inc.",
321,iphone 8 plus,256gb,tmobile,false,97,good,fair,39338980574577,03-985-3336,Pink,"Prime Enterprises, Inc.",9c02:3666:c9cc:8dfa:3b81:b668:e287:4418
322,iphone xs,256gb,verizon,false,85,fair,fair,76548721740601,32-727-0136,Khaki,Qualitest Pharmaceuticals,
323,iphone xs,128gb,sprint,false,93,fair,mint,13620015288394,77-144-5631,Green,Shire LLC,
324,iphone 8,128gb,tmobile,false,86,mint,good,78499444543272,26-505-7396,Yellow,Major Pharmaceuticals,
325,iphone 8,256gb,verizon,false,91,fair,fair,33493946717934,70-071-5415,Fuscia,"Novartis Consumer Health, Inc.",
326,iphone 8 plus,256gb,sprint,true,98,mint,mint,69552730331028,25-659-7009,Teal,Genesan Systems,
327,iphone xr,128gb,tmobile,true,92,mint,fair,83010431387986,08-222-2139,Mauv,JAFRA COSMETICS INTERNATIONAL,
328,iphone xr,256gb,sprint,true,97,good,good,62114642810259,20-026-8776,Teal,"Nelco Laboratories, Inc.",
329,iphone x,64gb,att,true,95,fair,fair,70292701095680,65-128-3820,Maroon,Rite Aid Corporation,
330,iphone 8,256gb,verizon,true,90,good,fair,74099880086334,05-724-9061,Yellow,"NATURE REPUBLIC CO., LTD.",
331,iphone 8,128gb,att,false,100,fair,good,11632497585168,41-912-8723,Teal,REMEDYREPACK INC.,
332,iphone x,256gb,att,false,93,mint,mint,84188231900804,05-822-2443,Maroon,Topco Associates LLC,
333,iphone xs,256gb,att,true,96,mint,fair,71139860344981,85-248-2289,Mauv,Sun Pharmaceutical Industries Limited,3707:aa03:b12:cc9e:53f6:f79d:4a1e:72e1
334,iphone 8,256gb,tmobile,true,90,mint,fair,68092641267310,73-387-2071,Blue,"APP Pharmaceuticals, LLC",
335,iphone xs,64gb,verizon,false,95,mint,mint,57494178143483,16-786-0740,Teal,Hannaford Brothers Company,540a:1410:db86:3c94:eea6:337d:de36:9f54
336,iphone x,128gb,verizon,true,85,mint,mint,69168812665948,70-838-7531,Teal,McKesson,
337,iphone 8 plus,64gb,att,true,87,fair,mint,25878559213320,16-499-9032,Violet,Dr. Reddy's Laboratories Limited,
338,iphone 8 plus,128gb,att,true,93,fair,fair,78174305246127,86-017-8365,Purple,Meijer Distribution Inc,
339,iphone x,128gb,verizon,true,100,fair,fair,40146899047856,54-404-7723,Goldenrod,"PSS World Medical, Inc.",
340,iphone xr,256gb,tmobile,false,88,fair,fair,50021899133918,56-487-6840,Blue,Insight Pharmaceuticals,
341,iphone 8 plus,128gb,sprint,true,86,fair,fair,90564421376385,16-278-5482,Purple,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,
342,iphone xr,256gb,verizon,true,95,fair,good,15110445524546,72-373-3135,Khaki,Contract Pharmacy Services-PA,
343,iphone 8 plus,64gb,att,false,97,good,mint,32063983051223,22-267-1071,Indigo,Ventura International LTD,
344,iphone xs,128gb,att,true,87,mint,fair,73446230882566,96-145-8233,Red,"Navarro Discount Pharmacies, LLC",
345,iphone x,256gb,att,false,90,fair,good,52057299058947,33-777-2902,Mauv,Eli Lilly and Company,
346,iphone 8,64gb,verizon,false,93,mint,good,19939720597048,12-572-4392,Orange,CVS Pharmacy,
347,iphone 8,128gb,att,true,91,good,fair,10747254393403,24-504-2403,Fuscia,Aurolife Pharma LLC,
348,iphone 8,64gb,att,true,90,good,mint,18027967868527,69-960-0012,Pink,"Amercare Products, Inc.",
349,iphone x,256gb,sprint,false,91,mint,fair,815529037725,12-450-7649,Blue,REMEDYREPACK INC.,1bc9:2d28:2716:37e1:2700:8884:b74b:1a01
350,iphone xr,256gb,verizon,true,100,good,good,25232271593056,79-470-9423,Fuscia,Northwind Pharmaceuticals,9b32:a479:5409:3f7e:319d:9e8a:7ff3:64b1
351,iphone xs,128gb,tmobile,false,89,fair,good,31118393486229,68-436-9388,Puce,"PruGen, Inc.",
352,iphone x,256gb,verizon,true,90,mint,fair,8537699146925,26-131-8155,Teal,Prasco Laboratories,
353,iphone x,64gb,sprint,false,94,mint,good,9801920812133,85-308-4490,Goldenrod,Lake Erie Medical DBA Quality Care Products LLC,
354,iphone xs,256gb,att,true,94,fair,mint,63871469579333,60-721-8221,Orange,McKesson Packaging Services a business unit of McKesson Corporation,
355,iphone 8 plus,256gb,sprint,false,85,mint,mint,23860765647622,28-802-3887,Orange,"Newton Laboratories, Inc.",
356,iphone 8 plus,128gb,tmobile,false,88,good,mint,60991404014446,05-879-4220,Fuscia,Virtus Pharmaceuticals,
357,iphone xs,64gb,verizon,true,100,mint,fair,55197920550076,27-360-2923,Pink,Hikma Pharmaceutical,
358,iphone x,128gb,tmobile,true,87,mint,mint,5176534421749,82-221-9187,Teal,Heritage Pharmaceuticals Inc.,
359,iphone xr,128gb,sprint,false,90,fair,fair,2204810628166,11-835-1248,Fuscia,Mission Hills S.A de C.V,
360,iphone 8 plus,64gb,sprint,true,94,good,fair,23941881686403,49-619-1536,Yellow,Air Liquide Industrial U.S. LP,
361,iphone 8 plus,128gb,sprint,true,97,mint,good,6582403861380,95-538-4718,Goldenrod,Own Products Inc.,
362,iphone x,128gb,tmobile,false,99,mint,mint,70302645086947,18-590-1125,Indigo,JAFRA COSMETICS INTERNATIONAL,
363,iphone 8 plus,128gb,tmobile,true,92,good,fair,40540697679722,66-434-9390,Crimson,Zenith Medicosm SL,
364,iphone 8 plus,256gb,sprint,true,93,fair,good,24843854663981,58-018-5346,Turquoise,CVS Pharmacy,
365,iphone xr,64gb,tmobile,true,97,mint,mint,65962781198661,77-438-2153,Green,Major Pharmaceuticals,
366,iphone 8 plus,64gb,att,true,97,fair,fair,251491207575,91-595-5602,Goldenrod,Clinical Solutions Wholesale,
367,iphone 8 plus,128gb,att,true,85,good,fair,6738477888150,25-665-6699,Pink,"AvKARE, Inc.",
368,iphone x,64gb,verizon,true,97,mint,fair,13996633354697,51-806-3384,Orange,Coty US LLC,
369,iphone 8 plus,64gb,tmobile,true,98,mint,fair,27650130156271,01-918-8074,Maroon,Home Sweet Homeopathics,
370,iphone xs,64gb,sprint,true,99,good,good,81014166202310,56-228-5880,Yellow,Greenbrier International,
371,iphone xs,256gb,sprint,false,88,fair,good,28606246644794,33-718-4177,Maroon,Novo Nordisk,ef3:41b3:d91c:dcc3:4b85:d087:279d:c7b
372,iphone xr,256gb,tmobile,true,100,fair,mint,32204155191060,40-224-6358,Mauv,"YBK Investment, INC",
373,iphone 8,64gb,att,false,92,good,fair,88833852791192,32-549-4965,Fuscia,"Hospira, Inc.",
374,iphone xr,256gb,sprint,true,86,mint,mint,87758903624017,57-812-2885,Violet,Virtus Pharmaceuticals LLC,
375,iphone 8 plus,64gb,att,false,89,fair,mint,32540018669352,08-702-8526,Puce,Pure Source Inc.,
376,iphone xr,128gb,att,true,97,fair,good,54189241563299,90-312-3893,Crimson,"Landmark Healthcare, Inc.",
377,iphone xs,256gb,att,true,93,fair,mint,56091135385713,23-339-3359,Fuscia,Par Pharmaceutical Inc.,
378,iphone 8,256gb,verizon,false,90,fair,good,29963115071413,68-911-4039,Khaki,"Boehringer Ingelheim Pharmaceuticals, Inc.",
379,iphone x,128gb,att,true,87,fair,mint,69534162082738,19-802-3846,Pink,REMEDYREPACK INC.,5a8:ed02:89c4:d421:90d8:822b:ef69:4761
380,iphone 8,128gb,tmobile,true,96,good,good,25962856643303,01-722-8842,Fuscia,AvPAK,
381,iphone x,128gb,verizon,false,94,good,fair,8193865991217,50-041-6650,Mauv,Uriel Pharmacy Inc.,
382,iphone xr,256gb,tmobile,false,86,mint,good,63193356434620,80-588-8581,Khaki,"Nelco Laboratories, Inc.",
383,iphone 8 plus,64gb,sprint,false,99,fair,fair,61582020319975,41-687-5543,Purple,AnazaoHealth Corporation,
384,iphone xs,256gb,att,false,90,fair,good,23320813270074,54-997-8706,Green,General Air Service & Supply Co,
385,iphone 8,256gb,att,true,95,fair,mint,64381839085890,76-050-4605,Teal,REMEDYREPACK INC.,d492:88c8:54fd:ddfd:715d:77cd:7b02:38c5
386,iphone 8,128gb,tmobile,false,100,mint,mint,61396021765801,63-766-3073,Crimson,"Preferred Pharmaceuticals, Inc.",37ac:36a5:c48f:3829:b85c:1e4b:6aad:7c95
387,iphone 8 plus,256gb,verizon,false,99,good,fair,9249287196783,21-899-9264,Blue,"Konsyl Pharmaceuticals, Inc.",
388,iphone x,256gb,tmobile,true,91,fair,good,64864128217439,92-467-1109,Indigo,PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,
389,iphone 8,128gb,att,false,91,good,mint,88599475920251,37-722-1872,Maroon,Feelgood Health,
390,iphone x,256gb,sprint,false,96,good,good,70294520338974,46-343-1599,Maroon,"Lupin Pharmaceuticals, Inc.",
391,iphone x,64gb,sprint,true,91,mint,mint,99124119413212,96-066-6385,Orange,"WH Nutritionals, LLC",
392,iphone xs,128gb,sprint,true,89,fair,good,57730962668465,36-320-0541,Yellow,"PD-Rx Pharmaceuticals, Inc.",d9db:a3d5:1a60:3e7a:eaf9:9707:6d46:6dc3
393,iphone 8 plus,128gb,verizon,false,90,good,good,65008262142555,42-138-8129,Orange,Apotheca Company,
394,iphone 8,128gb,verizon,true,97,good,good,19437489527316,34-974-3495,Green,"Camber Pharmaceutical, Inc.",
395,iphone 8,256gb,att,true,98,mint,good,76375404777540,39-177-6676,Blue,"McNeil Consumer Healthcare Div. McNeil-PPC, Inc",
396,iphone xr,128gb,sprint,true,86,good,fair,99599298366537,46-726-0770,Purple,Publix Super Markets Inc,
397,iphone 8 plus,256gb,verizon,true,85,good,good,46750668455541,94-043-7171,Indigo,H E B,
398,iphone 8,128gb,tmobile,false,91,fair,good,3384260172006,78-289-2217,Pink,"BioActive Nutritional, Inc.",
399,iphone xr,256gb,tmobile,false,93,mint,mint,89964100131652,96-112-7233,Mauv,Golden Touch LLC,
400,iphone xs,256gb,tmobile,false,85,good,mint,27252391215862,68-040-4928,Goldenrod,"AUSTIN PHARMACEUTICALS, LLC",
401,iphone 8 plus,256gb,sprint,false,89,fair,good,37795415727915,97-021-8387,Indigo,REMEDYREPACK INC.,
402,iphone xs,64gb,tmobile,true,87,fair,fair,92015108277347,34-354-7483,Yellow,Proficient Rx LP,f2e8:461f:fb87:7568:277c:e27c:c4c9:1f87
403,iphone 8,256gb,sprint,true,94,fair,good,25569291848926,15-139-0975,Yellow,Wal-Mart Stores Inc,
404,iphone 8 plus,128gb,verizon,false,85,mint,good,1225149188277,06-487-8246,Blue,"Roxane Laboratories, Inc",
405,iphone 8 plus,256gb,sprint,false,98,mint,fair,83889431320076,22-005-6917,Purple,Cardinal Health,
406,iphone xs,128gb,verizon,true,88,good,fair,7785701383258,82-666-0772,Turquoise,"Watson Pharma, Inc.",
407,iphone x,64gb,sprint,false,91,good,good,20232858308359,40-134-4074,Purple,A-S Medication Solutions LLC,
408,iphone 8,128gb,att,false,99,mint,fair,8589896967819,83-908-2252,Blue,"Physicians Total Care, Inc.",
409,iphone xs,256gb,att,false,88,fair,good,10677395032179,83-303-0284,Red,Reckitt Benckiser LLC,
410,iphone 8,128gb,sprint,true,93,mint,good,50906218094308,62-236-3651,Fuscia,"Dispensing Solutions, Inc.",
411,iphone 8 plus,64gb,verizon,true,93,mint,mint,91225524641616,41-447-9230,Fuscia,"Prestige Brands Holdings, Inc.",
412,iphone 8,256gb,att,true,95,good,fair,96218965461985,76-378-7702,Aquamarine,Hikma Pharmaceutical,
413,iphone xr,256gb,att,false,98,fair,fair,58493862213599,40-139-1193,Crimson,Cardinal Health,
414,iphone xr,64gb,att,false,91,mint,good,72138668007282,20-685-9642,Goldenrod,"Respa Pharmaceuticals, Inc.",
415,iphone xs,64gb,att,true,91,good,good,73883521031204,83-780-9588,Mauv,"Jets, Sets, & Elephants Beauty Corp.",a008:587f:a81f:b4e7:4b43:7fa:affc:ea5b
416,iphone 8,256gb,sprint,true,92,mint,fair,27868937556536,66-051-7119,Teal,"McNeil Consumer Healthcare Div. McNeil-PPC, Inc",
417,iphone x,64gb,tmobile,true,94,mint,fair,6088259388343,39-433-1205,Green,Health Care Products,
418,iphone 8,128gb,att,true,96,mint,fair,79012816539706,57-131-6549,Purple,"Resp-I-Care, Inc.",
419,iphone xr,128gb,att,true,94,mint,good,52823084430572,08-842-1066,Yellow,State of Florida DOH Central Pharmacy,
420,iphone 8 plus,64gb,sprint,false,93,mint,good,34996680270550,14-069-7343,Indigo,Universal Holdings I LLC,
421,iphone x,128gb,att,true,92,fair,good,94322427286362,20-593-3163,Yellow,BCM Cosmetique SAS,c7de:a8b8:c93d:f971:cf57:8e60:f88a:45da
422,iphone xs,256gb,att,false,94,mint,mint,77881624154322,85-289-2380,Puce,Midlothian Laboratories,
423,iphone xr,128gb,sprint,true,86,fair,fair,2496534905139,31-946-3620,Orange,HealthLink,
424,iphone x,256gb,tmobile,false,96,fair,good,84463438831493,11-067-6884,Mauv,"Deseret Biologicals, Inc.",
425,iphone xs,64gb,att,false,93,fair,fair,12657227014605,94-746-1642,Orange,Ventura Corporation LTD.,
426,iphone 8,256gb,att,false,96,fair,fair,34921529166757,30-304-9460,Violet,Teva Pharmaceuticals USA Inc,
427,iphone 8 plus,64gb,verizon,true,88,good,fair,49035534855634,33-666-7743,Blue,Cardinal Health,
428,iphone xs,64gb,att,true,96,good,mint,54405374603233,06-895-2232,Violet,The Body Shop Wake Forest,
429,iphone 8 plus,256gb,verizon,true,91,good,mint,68778770629285,21-538-8306,Purple,"Antigen Laboratories, Inc.",
430,iphone 8 plus,128gb,tmobile,false,94,mint,mint,87835855126929,00-844-1683,Crimson,"Actavis Pharma, Inc.",
431,iphone 8 plus,64gb,att,true,94,mint,mint,79720780397597,10-114-6911,Violet,Greenstone LLC,
432,iphone xr,256gb,verizon,true,85,good,good,54891893310795,52-866-4199,Red,"Allergan, Inc.",
433,iphone 8 plus,256gb,att,true,92,fair,good,95465334480183,57-596-4237,Green,PSS World Medical,
434,iphone 8,128gb,verizon,false,93,fair,fair,84169923018942,59-947-5813,Yellow,"Kareway Product, Inc.",
435,iphone xs,256gb,sprint,true,93,fair,mint,28257070063608,27-524-0511,Khaki,Unit Dose Services,1753:2126:9946:c32d:3288:495c:4a78:2a11
436,iphone x,64gb,verizon,false,88,mint,mint,35618606440190,56-204-5096,Blue,Physicians Science & Nature Inc.,
437,iphone xr,64gb,sprint,false,99,fair,fair,76880005643792,47-927-6367,Mauv,RXV,
438,iphone x,64gb,sprint,false,93,fair,fair,70016665993783,82-944-7887,Goldenrod,Aidarex Pharmaceuticals LLC,
439,iphone 8 plus,128gb,verizon,false,92,good,mint,58439098254267,50-968-9559,Red,Lake Erie Medical DBA Quality Care Products LLC,
440,iphone 8,64gb,att,true,95,fair,fair,85573792848114,48-487-3127,Teal,Sun Pharmaceutical Industries Limited,
441,iphone 8 plus,256gb,sprint,true,86,good,mint,10162776280147,36-041-7489,Green,AMERICAN SALES COMPANY,
442,iphone 8,64gb,verizon,true,96,good,fair,92077031823022,96-151-9435,Turquoise,Cardinal Health,
443,iphone xr,64gb,sprint,true,90,good,fair,41037975893085,95-710-4092,Blue,KMart Corporation,
444,iphone xr,64gb,sprint,true,88,fair,fair,21258144501298,84-984-9333,Violet,Restivo Chiropractic,
445,iphone xs,64gb,verizon,false,97,good,good,60372134548247,86-604-3689,Pink,"Pharmaceutical Associates, Inc.",
446,iphone xr,256gb,verizon,true,86,fair,fair,92306777278583,08-753-8672,Green,Genzyme Corporation,
447,iphone xs,64gb,sprint,true,95,fair,good,91247200221316,86-300-3074,Goldenrod,"Shine & Pretty (USA), Corp.",
448,iphone 8,128gb,tmobile,true,98,fair,good,19650077159327,96-798-7330,Orange,SHISEIDO AMERICAS CORPORATION,
